trial_id,strategy,window_index,target_multiplier,multiplier_clamped,mlp_output,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore
18,pure_archetype_corner,0,1.074242649397837,false,0.9687223246989185,0.6247955602169415,0.2194125838521936,0.15579185593086495,0.08743866806508244,-0.03417622484434196,-0.05326244322074053
19,pure_archetype_corner,0,1.0742500925961702,false,0.9687260462980851,0.6248254546433162,0.2193993367472576,0.15577520860942623,0.08744763639299485,-0.03418019897582275,-0.05326743741717216
20,pure_archetype_corner,0,1.0744802262457749,false,0.9688411131228875,0.6257496464602635,0.2189897092457024,0.15526064429403405,0.08772489393807908,-0.034303087226289275,-0.05342180671178981
21,pure_archetype_corner,0,1.0743040909857313,false,0.9687530454928657,0.6250118981295378,0.21929003458105256,0.15569806728940955,0.08750356943886134,-0.034212989625684254,-0.05329057981317714
22,pure_archetype_corner,0,1.074621979845698,false,0.968911989922849,0.6263188183467447,0.21873735294497432,0.15494382870828088,0.0878956455040234,-0.03437879411650774,-0.05351685138751572
23,pure_archetype_corner,0,1.0747036951542637,false,0.9689528475771318,0.6263755272427645,0.21847418015231185,0.15515029260492377,0.08791265817282934,-0.03445774595430645,-0.05345491221852289
24,pure_archetype_corner,0,1.0743803297134773,false,0.9687911648567387,0.6251875463061279,0.21909772972455005,0.15571472396932212,0.0875562638918384,-0.03427068108263498,-0.05328558280920337
25,pure_archetype_corner,0,1.0745960978404059,false,0.968899048920203,0.626214901577798,0.21878343152993587,0.1550016668922661,0.0878644704733394,-0.034364970541019224,-0.05349949993232017
26,pure_archetype_corner,0,1.0744242575752625,false,0.9688131287876313,0.6255249003923143,0.2190893387801534,0.15538576082753225,0.08765747011769426,-0.034273198365953994,-0.05338427175174032
27,pure_archetype_corner,0,1.0740816907411708,false,0.9686418453705854,0.6240884551493718,0.21967275309218987,0.15623879175843836,0.08722653654481155,-0.03409817407234306,-0.05312836247246849
28,pure_archetype_corner,0,1.0750692850689785,false,0.9691356425344893,0.6278623077797317,0.21783151787437813,0.15430617434589,0.08835869233391952,-0.034650544637686576,-0.053708147696233
29,pure_archetype_corner,0,1.0744089276941038,false,0.9688054638470519,0.625299751189381,0.21904568103677557,0.1556545677738434,0.08758992535681426,-0.03428629568896735,-0.05330362966784696
30,pure_archetype_corner,0,1.074913094589949,false,0.9690575472949745,0.627415759431137,0.21818789424593385,0.15439634632292912,0.0882247278293411,-0.034543631726219826,-0.05368109610312127
31,pure_archetype_corner,0,1.0743667222529225,false,0.9687843611264613,0.6252938514055337,0.2191917519337337,0.15551439666073244,0.0875881554216601,-0.034242474419879876,-0.053345681001780276
32,pure_archetype_corner,0,1.0746653885275321,false,0.9689336942637661,0.6264785106722603,0.21865374172086996,0.1548677476068696,0.08794355320167807,-0.03440387748373902,-0.053539675717939106
33,pure_archetype_corner,0,1.0741849234535632,false,0.9686934617267816,0.6245637057388436,0.21951531896810564,0.15592097529305085,0.08736911172165307,-0.034145404309568306,-0.053223707412084764
34,pure_archetype_corner,0,1.07468743945415,false,0.968944719727075,0.626581629958137,0.21862080870385045,0.15479756133801256,0.08797448898744109,-0.03441375738884489,-0.053560731598596256
35,pure_archetype_corner,0,1.0747791908274673,false,0.9689905954137337,0.6268278643447133,0.2184044868700311,0.15476764878525565,0.08804835930341398,-0.03447865393899069,-0.05356970536442329
36,pure_archetype_corner,0,1.074562495352101,false,0.9688822476760505,0.6260318188624405,0.2188223655538085,0.15514581558375096,0.08780954565873217,-0.03435329033385748,-0.05345625532487469
37,pure_archetype_corner,0,1.0742513775779283,false,0.9687266887889642,0.6248306155470703,0.21939704977896138,0.15577233467396837,0.08744918466412105,-0.03418088506631162,-0.05326829959780949
38,pure_archetype_corner,0,1.074453045291606,false,0.968827522645803,0.6254585532167075,0.21895918720889548,0.1555822595743971,0.08763756596501221,-0.03431224383733139,-0.053325322127680874
39,pure_archetype_corner,0,1.0743249871269756,false,0.9687634935634878,0.6250942716054543,0.21925217115162474,0.15565355724292093,0.08752828148163627,-0.03422434865451257,-0.0533039328271237
40,pure_archetype_corner,0,1.074506897076885,false,0.9688544485384425,0.6255825815049131,0.2188233330068708,0.15559408548821616,0.08767477445147392,-0.03435300009793879,-0.05332177435353519
41,pure_archetype_corner,0,1.0744891820496976,false,0.9688455910248488,0.6256355497696976,0.2189086891143608,0.15545576111594156,0.08769066493090927,-0.034327393265691786,-0.05336327166521754
42,pure_archetype_corner,0,1.0752136573154443,false,0.9692078286577221,0.6284028718350453,0.21755753313418902,0.15403959503076572,0.08852086155051359,-0.034732740059743306,-0.05378812149077028
43,pure_archetype_corner,0,1.075071125103762,false,0.969136562551881,0.6278360050156313,0.2178136310375504,0.15435036394681834,0.08835080150468938,-0.034655910688734914,-0.05369489081595452
44,pure_archetype_corner,0,1.0744398044439754,false,0.9688209022219877,0.6254172981074013,0.2189879242391167,0.1555947776534821,0.08762518943222036,-0.03430362272826498,-0.05332156670395538
45,pure_archetype_corner,0,1.0744333603334861,false,0.9688176801667431,0.625347624624954,0.21898040154508383,0.15567197382996228,0.08760428738748621,-0.03430587953647485,-0.05329840785101131
46,pure_archetype_corner,0,1.0750606981004187,false,0.9691313490502094,0.6279885956258456,0.21791652620321394,0.15409487817094034,0.08839657868775369,-0.03462504213903583,-0.05377153654871791
47,pure_archetype_corner,0,1.0744723291759735,false,0.9688371645879867,0.625619673478642,0.21896115247921985,0.15541917404213812,0.08768590204359256,-0.03431165425623406,-0.05337424778735855
48,pure_archetype_corner,0,1.0748425083828086,false,0.9690222541914043,0.6269056478623986,0.21821524277281568,0.15487910936478586,0.08807169435871959,-0.03453542716815533,-0.05353626719056426
49,pure_archetype_corner,0,1.074342867338467,false,0.9687724336692335,0.6251315407744007,0.21920536763652487,0.1556630915890745,0.08753946223232018,-0.03423838970904253,-0.05330107252327765
50,pure_archetype_corner,0,0.9322168275446898,false,0.8977094137723449,0.1776128586899605,0.6087211129592227,0.2136660283508168,-0.04671614239301186,0.08261633388776679,-0.035900191494754985
51,pure_archetype_corner,0,0.931741626797338,false,0.897471813398669,0.17701119011308816,0.6106255165281788,0.21236329335873308,-0.04689664296607354,0.08318765495845365,-0.03629101199238011
52,pure_archetype_corner,0,0.9320503266015092,false,0.8976261633007546,0.17738000293594383,0.6092157805611775,0.21340421650287864,-0.04678599911921688,0.08276473416835323,-0.0359787350491364
53,pure_archetype_corner,0,0.9320330665743151,false,0.8976175332871575,0.17736796149051404,0.6093617806290736,0.21327025788041226,-0.04678961155284578,0.08280853418872208,-0.036018922635876305
54,pure_archetype_corner,0,0.9317822115326193,false,0.8974921057663097,0.17705835648363008,0.6104298318962268,0.21251181162014302,-0.04688249305491099,0.08312894956886802,-0.03624645651395714
55,pure_archetype_corner,0,0.9316539091249303,false,0.8974279545624652,0.17689630769126938,0.6109471413988956,0.212156550909835,-0.04693110769261921,0.0832841424196687,-0.03635303472704948
