trial_id,target_multiplier,multiplier_clamped,enemy_spawn_interval_value,enemy_spawn_interval_bound_check,global_enemy_cap_value,global_enemy_cap_bound_check,enemy_damage_intensity_value,enemy_damage_intensity_bound_check,enemy_max_health_value,enemy_max_health_bound_check,stamina_regen_value,stamina_regen_bound_check,stamina_damage_value,stamina_damage_bound_check,dash_cooldown_value,dash_cooldown_bound_check,collectible_count_value,collectible_count_bound_check,collectible_spawn_interval_value,collectible_spawn_interval_bound_check,collectible_lifetime_value,collectible_lifetime_bound_check,player_damage_intensity_value,player_damage_intensity_bound_check,player_max_health_value,player_max_health_bound_check
17,1.0711812508666534,false,35.88991438323063,unbounded,39.26097822048989,unbounded,11.072962394412865,unbounded,110.00732417263599,unbounded,12.5988633352858,unbounded,4.762334379162382,unbounded,2.8574006274974293,unbounded,121.718611783855,unbounded,39.4352180792509,unbounded,30.42965294596375,unbounded,14.93678122825151,unbounded,168.0387888178295,unbounded
18,0.9907306364599535,false,41.38690427300532,unbounded,33.68571756587204,unbounded,9.705295199247223,unbounded,97.45697432317687,unbounded,13.513875624512153,unbounded,4.439881027998286,unbounded,2.6639286167989717,unbounded,123.82408245534374,unbounded,38.76467246774136,unbounded,30.956020613835936,unbounded,16.149697416414494,unbounded,181.68409593466308,unbounded
19,0.9259902637253217,false,46.605257123093786,unbounded,29.64450797328747,unbounded,8.695586054171832,unbounded,88.0844937078811,unbounded,14.547297405189843,unbounded,4.12447744270318,unbounded,2.4746864656219074,unbounded,125.5355543787034,unbounded,38.23617957283901,unbounded,31.38388859467585,unbounded,17.27879938567703,unbounded,194.3864930888666,unbounded
20,0.986710403342026,false,41.85346750677601,unbounded,33.26923145804999,unbounded,9.608811654048644,unbounded,96.60470129922967,unbounded,13.48272399762922,unbounded,4.450139304976524,unbounded,2.6700835829859146,unbounded,124.1745662937671,unbounded,38.65525882848148,unbounded,31.043641573441775,unbounded,16.21549742032453,unbounded,182.424345978651,unbounded
21,0.9939928398007254,false,41.17083875810353,unbounded,33.873801172996245,unbounded,9.753000189838042,unbounded,97.90385831471883,unbounded,13.455930651720523,unbounded,4.459000388228679,unbounded,2.6754002329372075,unbounded,123.77283604231819,unbounded,38.78072243863646,unbounded,30.943209010579547,unbounded,16.096695428115623,unbounded,181.08782356630076,unbounded
22,1.0762433819748345,false,34.30765816462327,unbounded,41.33033168766003,unbounded,11.509742660266882,unbounded,113.60280892163175,unbounded,12.753102010976132,unbounded,4.704737713880135,unbounded,2.8228426283280807,unbounded,124.94460099359902,unbounded,38.4170261206077,unbounded,31.236150248399756,unbounded,14.866525795160824,unbounded,167.24841519555926,unbounded
23,1.0621489368434374,false,34.280148617383176,unbounded,41.45075466198108,unbounded,11.494048934242693,unbounded,113.19537021081032,unbounded,13.006066434863772,unbounded,4.613231856110263,unbounded,2.7679391136661584,unbounded,127.98334318408322,unbounded,37.504880561652314,unbounded,31.995835796020806,unbounded,15.063800795724402,unbounded,169.46775895189953,unbounded
24,0.9541051297395509,false,44.20541881430605,unbounded,31.383099754920686,unbounded,9.130728892096817,unbounded,92.12793373156555,unbounded,14.056857823938815,unbounded,4.26837923179532,unbounded,2.5610275390771924,unbounded,124.91446842270781,unbounded,38.42629329179792,unbounded,31.228617105676953,unbounded,16.769640473862285,unbounded,188.65845533095072,unbounded
25,1.010276185867024,false,40.05219363251254,unbounded,34.88684401521044,unbounded,10.006267472928323,unbounded,100.25566350076707,unbounded,13.208481651562021,unbounded,4.542535742017286,unbounded,2.7255214452103718,unbounded,123.44623347153382,unbounded,38.88332486958268,unbounded,30.861558367883454,unbounded,15.837253440027117,unbounded,178.16910120030508,unbounded
26,1.043557145048464,false,37.65732436870315,unbounded,37.2861729399658,unbounded,10.591014891968227,unbounded,105.59926203671507,unbounded,12.886089281797961,unbounded,4.656183787640835,unbounded,2.793710272584501,unbounded,122.36273286467079,unbounded,39.22762991333843,unbounded,30.590683216167697,unbounded,15.332174261771685,unbounded,172.48696044493144,unbounded
27,1.0722147818687353,false,35.80396624900467,unbounded,39.36419583624184,unbounded,11.096980159674313,unbounded,110.22013691476921,unbounded,12.601565896219858,unbounded,4.7613130379295505,unbounded,2.8567878227577306,unbounded,121.66006892190981,unbounded,39.45419431811259,unbounded,30.415017230477453,unbounded,14.922383341996103,unbounded,167.87681259745614,unbounded
28,0.8756006351054926,false,50.64743000715992,unbounded,27.141415773740345,unbounded,8.040780543921887,unbounded,81.83825705348494,unbounded,15.526374326648913,unbounded,3.8643922101644907,unbounded,2.3186353260986943,unbounded,128.64358433038385,unbounded,37.31239319072911,unbounded,32.16089608259596,unbounded,18.27317084811424,unbounded,205.57317204128518,unbounded
29,0.9706457561182931,false,42.921947556950215,unbounded,32.391469696300845,unbounded,9.383777608562642,unbounded,94.483135990867,unbounded,13.794134778457702,unbounded,4.349674768561925,unbounded,2.609804861137155,unbounded,124.41920990717425,unbounded,38.57925157683567,unbounded,31.104802476793562,unbounded,16.483871586669846,unbounded,185.44355535003578,unbounded
30,0.9517156194268435,false,44.40591105664936,unbounded,31.230215496996703,unbounded,9.092700850810715,unbounded,91.77591919502261,unbounded,14.090434311611086,unbounded,4.258207992251707,unbounded,2.554924795351024,unbounded,125.00430500447749,unbounded,38.3986775481698,unbounded,31.251076251119372,unbounded,16.811744678137952,unbounded,189.13212762905195,unbounded
31,0.9224057611355942,false,47.097491400185575,unbounded,29.29913690646374,unbounded,8.614860727012667,unbounded,87.36700103881321,unbounded,14.59273296683028,unbounded,4.111635574801636,unbounded,2.4669813448809816,unbounded,125.36209152165301,unbounded,38.289086770468614,unbounded,31.340522880413253,unbounded,17.345945433278782,unbounded,195.1418861243863,unbounded
32,1.016469822879738,false,39.47607764010583,unbounded,35.44586174822837,unbounded,10.138048830315245,unbounded,101.4337871001167,unbounded,13.206986247664467,unbounded,4.543050085375112,unbounded,2.7258300512250675,unbounded,123.06971774630159,unbounded,39.00228332281396,unbounded,30.767429436575398,unbounded,15.740752592802762,unbounded,177.08346666903108,unbounded
33,1.0793103964165505,false,35.21229598002276,unbounded,40.089334632578876,unbounded,11.26524085355318,unbounded,111.70813475675645,unbounded,12.59538224187393,unbounded,4.763650586206683,unbounded,2.8581903517240104,unbounded,121.53896411326895,unbounded,39.493507576110424,unbounded,30.384741028317237,unbounded,14.824280441587574,unbounded,166.7731549678602,unbounded
