trial_id,soft_combat,soft_collect,soft_explore,delta_combat,delta_collect,delta_explore,mlp_output,target_multiplier,multiplier_clamped
13281,0.25,0.55,0.2,-0.5,-0.5,-0.5,0.8238723211538659,0.7845426423077317,false
13282,0.25,0.55,0.2,-0.5,-0.5,0,0.8698308824066888,0.8764597648133776,false
13283,0.25,0.55,0.2,-0.5,-0.5,0.5,0.839438915528171,0.8156758310563419,false
13284,0.25,0.55,0.2,-0.5,-0.5,1,0.6627663006286832,0.6,true
13285,0.25,0.55,0.2,-0.5,0,-1,1.0694748118975717,1.2757476237951433,false
13286,0.25,0.55,0.2,-0.5,0,-0.5,0.9458103560821095,1.028418712164219,false
13287,0.25,0.55,0.2,-0.5,0,0,0.8787350554974525,0.8942681109949049,false
13288,0.25,0.55,0.2,-0.5,0,0.5,0.7366715827119061,0.6101411654238122,false
13289,0.25,0.55,0.2,-0.5,0,1,0.5642139255749186,0.6,true
13290,0.25,0.55,0.2,-0.5,0.5,-1,1.1537439593891894,1.4,true
13291,0.25,0.55,0.2,-0.5,0.5,-0.5,1.0157159693306483,1.1682299386612967,false
13292,0.25,0.55,0.2,-0.5,0.5,0,0.8585066154453262,0.8538112308906525,false
13293,0.25,0.55,0.2,-0.5,0.5,0.5,0.6373663664996717,0.6,true
13294,0.25,0.55,0.2,-0.5,0.5,1,0.45633061218540283,0.6,true
13295,0.25,0.55,0.2,-0.5,1,-1,1.2149356329563405,1.4,true
13296,0.25,0.55,0.2,-0.5,1,-0.5,0.9992377830587755,1.135273566117551,false
13297,0.25,0.55,0.2,-0.5,1,0,0.7643058962582693,0.6654097925165385,false
13298,0.25,0.55,0.2,-0.5,1,0.5,0.5301844462026943,0.6,true
13299,0.25,0.55,0.2,-0.5,1,1,0.3803054517769297,0.6,true
13300,0.25,0.55,0.2,0,-1,-1,0.8388388966073593,0.8144757932147186,false
13301,0.25,0.55,0.2,0,-1,-0.5,0.8713607222185739,0.8795194444371477,false
